TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
79.806984127,-238.364,33.8393,3.51894,-6.10106,2.1296,0.077134,-5.32267,1.76008,-2.58241,0.15647,-2.24798,-2.00782,-2.90339,-0.20036,-3.40049,-0.819688,-2.06157,-0.498552,0.678467,1.44035,-1.98987
79.830204082,-257.224,45.0309,0.0766062,-3.3592,2.28733,-0.0913978,-1.26489,2.55884,-4.32943,-1.14935,-3.73887,-5.01134,-2.8441,-2.17065,-2.64032,-1.39825,0.343224,-1.90263,-0.417448,2.16372,-1.20911
79.853424036,-174.185,4.51454,12.651,-0.223921,2.42205,2.45607,-4.39729,-0.432306,-3.5183,-3.67977,-3.80762,-0.00545056,-1.37759,1.201,-1.27339,2.54477,-1.51338,-0.119034,-0.425711,-2.56219,-0.590323
79.876643991,-192.78,9.00577,16.2484,-4.64933,6.46041,7.43813,-2.7448,-0.096133,-3.64269,-2.57279,-5.50314,-5.44758,-3.75338,-0.908368,-3.00446,0.341181,0.943841,0.114513,0.0935807,-0.142814,-1.41041
79.899863946,-208.182,19.8563,16.2506,-2.41914,5.19162,7.78913,-0.41207,2.25887,-1.77031,-1.69289,-3.09904,-2.28505,-4.84218,-0.298181,-1.68984,0.2034,-0.325345,1.20642,2.15322,-0.153661,-1.33774
79.923083900,-228.862,25.8261,5.93224,-1.79046,7.95101,5.50934,-0.0673339,4.68757,-2.64973,-2.29389,-4.26557,-2.84021,-3.85319,-1.8921,-3.35621,-2.98969,-1.77726,1.41377,0.948861,-1.57015,-2.6603
79.946303855,-233.217,30.9445,-1.9856,4.988,7.23531,7.72957,2.52492,5.60149,-1.18955,-2.19515,-2.04731,-1.65604,-5.24436,0.118729,0.0858369,-1.49643,-0.862405,3.55285,0.94486,-2.71239,-3.23481
79.969523810,-200.333,18.5163,-0.952951,4.49093,5.78214,1.04719,3.5982,-0.0165501,-2.02145,-3.26323,-1.61704,2.15738,-0.141779,-0.0316644,0.440221,0.463353,0.361049,1.52722,1.17385,-0.154351,-0.0112973
79.992743764,-169.915,15.2123,-2.31332,8.42531,13.3869,2.68198,6.39321,7.5277,1.56593,-1.02813,0.433791,0.440879,-0.760086,-0.425366,-5.12766,1.03435,0.299139,-1.34103,-1.13861,1.35699,-0.852813
80.015963719,-204.277,28.0868,2.01127,7.24457,11.0467,3.65337,4.76265,6.3515,0.457428,-2.38082,0.906702,3.09707,0.72034,-1.22022,-3.84719,-0.314136,2.9555,4.62718,-1.53288,-2.09869,-2.78503
80.039183673,-222.158,24.9667,9.7414,3.76832,3.01965,4.46386,3.74609,3.89956,5.07604,2.21395,-1.47879,7.3959,2.88853,0.984524,-1.61965,2.27645,1.98514,3.28168,0.923712,-0.0647933,-2.46841
80.062403628,-221.495,18.9822,7.16828,4.41771,3.09685,8.94917,6.02953,7.37509,10.0082,7.53338,2.33854,8.5631,1.44444,0.339034,-0.937383,2.39617,-0.0710783,0.954937,-0.247309,0.151546,-0.134379
80.085623583,-220.85,17.5286,7.97724,4.41559,1.55246,3.67361,2.69998,4.6374,6.20578,0.373704,-1.52155,7.78048,2.46588,-1.26895,-0.899019,4.43835,3.19224,2.30792,-1.24322,0.619105,-0.823903
80.108843537,-222.482,16.867,6.69354,3.99561,0.556042,6.81636,1.83884,2.97743,5.71748,1.53814,-0.028695,5.63504,0.179539,3.56856,0.708119,3.18691,4.69569,4.71665,2.85853,0.877432,0.203898
80.132063492,-222.593,11.6829,3.44167,2.23092,-1.62839,6.39223,1.36271,0.503014,4.1359,1.12625,-3.14454,3.52068,0.76301,1.75375,-0.0673421,2.90788,3.52143,3.6566,0.00187163,1.37684,-1.52322
80.155283447,-226.186,10.8324,2.1997,0.731753,-0.0760681,6.71285,2.17748,1.94485,6.00838,2.58233,-2.78056,1.91432,-2.17554,1.40351,-1.04068,1.50961,4.26187,5.14329,3.49165,3.09285,-1.57057
80.178503401,-226.338,11.6443,1.29989,2.90415,-1.37318,3.82173,-1.00404,-0.141587,4.23868,0.412397,-2.36726,2.7924,-1.53834,0.332718,0.570686,1.22084,4.34267,2.56301,0.472373,2.63397,1.41182
80.201723356,-229.392,11.5995,4.07368,3.70519,-1.1157,3.32332,-1.45705,0.58897,1.20617,1.25796,-1.84902,2.51057,-0.457393,2.06873,0.123017,-0.966163,3.48442,3.46099,-0.212274,0.77067,-0.445526
